year,group,outcome,value
2019,Not targeted,Births No Physician,0.0887688
2019,Attended,Births No Physician,0.0615897
2019,Target not attended,Births No Physician,0.2327984
2008,Not targeted,Women with job,0.5861554
2008,Attended,Women with job,0.5949567
2008,Target not attended,Women with job,0.6569905
2009,Not targeted,Women with job,0.5994387
2009,Attended,Women with job,0.594546
2009,Target not attended,Women with job,0.673843
2010,Not targeted,Women with job,0.5985955
2010,Attended,Women with job,0.6112169
2010,Target not attended,Women with job,0.6724157
2011,Not targeted,Women with job,0.595898
2011,Attended,Women with job,0.611767
2011,Target not attended,Women with job,0.6673642
2012,Not targeted,Women with job,0.5957769
2012,Attended,Women with job,0.6038064
2012,Target not attended,Women with job,0.6599044
2013,Not targeted,Women with job,0.57482
2013,Attended,Women with job,0.6075046
2013,Target not attended,Women with job,0.6467384
2014,Not targeted,Women with job,0.5741518
2014,Attended,Women with job,0.599937
2014,Target not attended,Women with job,0.6358538
2015,Not targeted,Women with job,0.5508765
2015,Attended,Women with job,0.5940107
2015,Target not attended,Women with job,0.6442847
2016,Not targeted,Women with job,0.5693786
2016,Attended,Women with job,0.5976993
2016,Target not attended,Women with job,0.635099
2017,Not targeted,Women with job,0.5656447
2017,Attended,Women with job,0.6090354
2017,Target not attended,Women with job,0.653074
2018,Not targeted,Women with job,0.5783439
2018,Attended,Women with job,0.6038808
2018,Target not attended,Women with job,0.6633417
2019,Not targeted,Women with job,0.5768569
2019,Attended,Women with job,0.6074733
2019,Target not attended,Women with job,0.6768872
2008,Not targeted,Men with job,0.7704979
2008,Attended,Men with job,0.7823953
2008,Target not attended,Men with job,0.8323475
2009,Not targeted,Men with job,0.7681901
2009,Attended,Men with job,0.7820026
2009,Target not attended,Men with job,0.8306302
2010,Not targeted,Men with job,0.7843566
2010,Attended,Men with job,0.7819402
2010,Target not attended,Men with job,0.8327034
2011,Not targeted,Men with job,0.7526692
2011,Attended,Men with job,0.7906668
2011,Target not attended,Men with job,0.8314506
2012,Not targeted,Men with job,0.7626524
2012,Attended,Men with job,0.7888239
2012,Target not attended,Men with job,0.8276009
2013,Not targeted,Men with job,0.7605298
2013,Attended,Men with job,0.7798089
2013,Target not attended,Men with job,0.8187802
2014,Not targeted,Men with job,0.7472411
2014,Attended,Men with job,0.7768752
2014,Target not attended,Men with job,0.8201581
2015,Not targeted,Men with job,0.7444648
2015,Attended,Men with job,0.7654321
2015,Target not attended,Men with job,0.8329232
2016,Not targeted,Men with job,0.7523546
2016,Attended,Men with job,0.768074
2016,Target not attended,Men with job,0.8172235
2017,Not targeted,Men with job,0.7478278
2017,Attended,Men with job,0.7681244
2017,Target not attended,Men with job,0.8283209
2018,Not targeted,Men with job,0.7564949
2018,Attended,Men with job,0.7661254
2018,Target not attended,Men with job,0.8304739
2019,Not targeted,Men with job,0.7517827
2019,Attended,Men with job,0.7718142
2019,Target not attended,Men with job,0.835747
